question,original_image,labeled_image,mask_image,molmo_image
Is this napkin red?,images/242_original.jpg,images/242_labeled.jpg,masks_gt/242_mask.png,molmo/242_molmo.png
Who is riding the bicycle?,images/243_original.jpg,images/243_labeled.jpg,masks_gt/243_mask.png,molmo/243_molmo.png
What is in the glass?,images/244_original.jpg,images/244_labeled.jpg,masks_gt/244_mask.png,molmo/244_molmo.png
What is the color of the bicycle?,images/245_original.jpg,images/245_labeled.jpg,masks_gt/245_mask.png,molmo/245_molmo.png
,images/246_original.jpg,images/246_labeled.jpg,masks_gt/246_mask.png,molmo/246_molmo.png
,images/247_original.jpg,images/247_labeled.jpg,masks_gt/247_mask.png,molmo/247_molmo.png
Does the cap fit correctly on the container?,images/248_original.jpg,images/248_labeled.jpg,masks_gt/248_mask.png,molmo/248_molmo.png
Is this box transparent?,images/249_original.jpg,images/249_labeled.jpg,masks_gt/249_mask.png,molmo/249_molmo.png
Does the lamp make this bright?,images/250_original.jpg,images/250_labeled.jpg,masks_gt/250_mask.png,molmo/250_molmo.png
,images/251_original.jpg,images/251_labeled.jpg,masks_gt/251_mask.png,molmo/251_molmo.png
,images/252_original.jpg,images/252_labeled.jpg,masks_gt/252_mask.png,molmo/252_molmo.png
Is the outsole visible?,images/253_original.jpg,images/253_labeled.jpg,masks_gt/253_mask.png,molmo/253_molmo.png
What is next to the label?,images/254_original.jpg,images/254_labeled.jpg,masks_gt/254_mask.png,molmo/254_molmo.png
Where is the bowl?,images/255_original.jpg,images/255_labeled.jpg,masks_gt/255_mask.png,molmo/255_molmo.png
What's reflected in the mirror?,images/256_original.jpg,images/256_labeled.jpg,masks_gt/256_mask.png,molmo/256_molmo.png
Is the cover visible?,images/257_original.jpg,images/257_labeled.jpg,masks_gt/257_mask.png,molmo/257_molmo.png
Is this bicycle leaning against a tree?,images/258_original.jpg,images/258_labeled.jpg,masks_gt/258_mask.png,molmo/258_molmo.png
Which chair is by the sidewalk?,images/259_original.jpg,images/259_labeled.jpg,masks_gt/259_mask.png,molmo/259_molmo.png
What is next to the microwave oven?,images/260_original.jpg,images/260_labeled.jpg,masks_gt/260_mask.png,molmo/260_molmo.png
what object is beside the knife?,images/261_original.jpg,images/261_labeled.jpg,masks_gt/261_mask.png,molmo/261_molmo.png
Is the table tall?,images/262_original.jpg,images/262_labeled.jpg,masks_gt/262_mask.png,molmo/262_molmo.png
Is there something placed on the top?,images/263_original.jpg,images/263_labeled.jpg,masks_gt/263_mask.png,molmo/263_molmo.png
what is this on the table?,images/264_original.jpg,images/264_labeled.jpg,masks_gt/264_mask.png,molmo/264_molmo.png
What is inside the cup?,images/265_original.jpg,images/265_labeled.jpg,masks_gt/265_mask.png,molmo/265_molmo.png
What is that on the helmets?,images/266_original.jpg,images/266_labeled.jpg,masks_gt/266_mask.png,molmo/266_molmo.png
What is next to the bottle?,images/267_original.jpg,images/267_labeled.jpg,masks_gt/267_mask.png,molmo/267_molmo.png
Is the hand holding the glass visible?,images/268_original.jpg,images/268_labeled.jpg,masks_gt/268_mask.png,molmo/268_molmo.png
Does this plate hold pizza?,images/269_original.jpg,images/269_labeled.jpg,masks_gt/269_mask.png,molmo/269_molmo.png
how far is that empty bench from the sea?,images/270_original.jpg,images/270_labeled.jpg,masks_gt/270_mask.png,molmo/270_molmo.png
What is above the body?,images/271_original.jpg,images/271_labeled.jpg,masks_gt/271_mask.png,molmo/271_molmo.png
What is being carried?,images/272_original.jpg,images/272_labeled.jpg,masks_gt/272_mask.png,molmo/272_molmo.png
What is placed on a chair?,images/273_original.jpg,images/273_labeled.jpg,masks_gt/273_mask.png,molmo/273_molmo.png
What is under the bottle?,images/274_original.jpg,images/274_labeled.jpg,masks_gt/274_mask.png,molmo/274_molmo.png
What is on the windshield?,images/275_original.jpg,images/275_labeled.jpg,masks_gt/275_mask.png,molmo/275_molmo.png
Is the chair comfortable to sit on?,images/276_original.jpg,images/276_labeled.jpg,masks_gt/276_mask.png,molmo/276_molmo.png
what role of seat is this?,images/277_original.jpg,images/277_labeled.jpg,masks_gt/277_mask.png,molmo/277_molmo.png
what color is that pillow beside the lamp?,images/278_original.jpg,images/278_labeled.jpg,masks_gt/278_mask.png,molmo/278_molmo.png
Is food touching this napkin?,images/279_original.jpg,images/279_labeled.jpg,masks_gt/279_mask.png,molmo/279_molmo.png
what is the color of the scarf?,images/280_original.jpg,images/280_labeled.jpg,masks_gt/280_mask.png,molmo/280_molmo.png
Is food touching it?,images/281_original.jpg,images/281_labeled.jpg,masks_gt/281_mask.png,molmo/281_molmo.png
What is the part of the dog that contains bone?,images/282_original.jpg,images/282_labeled.jpg,masks_gt/282_mask.png,molmo/282_molmo.png
What is the size of the wheel?,images/283_original.jpg,images/283_labeled.jpg,masks_gt/283_mask.png,molmo/283_molmo.png
What is visible through this windshield?,images/284_original.jpg,images/284_labeled.jpg,masks_gt/284_mask.png,molmo/284_molmo.png
What is placed on the chair?,images/285_original.jpg,images/285_labeled.jpg,masks_gt/285_mask.png,molmo/285_molmo.png
What 's the color of the box next to the van?,images/286_original.jpg,images/286_labeled.jpg,masks_gt/286_mask.png,molmo/286_molmo.png
What is the color of the car that is fully visible in the foreground?,images/287_original.jpg,images/287_labeled.jpg,masks_gt/287_mask.png,molmo/287_molmo.png
what is the basket sitting on?,images/288_original.jpg,images/288_labeled.jpg,masks_gt/288_mask.png,molmo/288_molmo.png
Where is the pillow placed?,images/289_original.jpg,images/289_labeled.jpg,masks_gt/289_mask.png,molmo/289_molmo.png
What is illuminating the room?,images/290_original.jpg,images/290_labeled.jpg,masks_gt/290_mask.png,molmo/290_molmo.png
Will picking up the object with this handle allow you to cut something?,images/291_original.jpg,images/291_labeled.jpg,masks_gt/291_mask.png,molmo/291_molmo.png
What is the text on the black helmet?,images/292_original.jpg,images/292_labeled.jpg,masks_gt/292_mask.png,molmo/292_molmo.png
what material is the tool handle above the table made of?,images/293_original.jpg,images/293_labeled.jpg,masks_gt/293_mask.png,molmo/293_molmo.png
Is the dog's ear up?,images/294_original.jpg,images/294_labeled.jpg,masks_gt/294_mask.png,molmo/294_molmo.png
How is the plastic bag positioned near the vehicle?,images/295_original.jpg,images/295_labeled.jpg,masks_gt/295_mask.png,molmo/295_molmo.png
what is the color of his shoe?,images/296_original.jpg,images/296_labeled.jpg,masks_gt/296_mask.png,molmo/296_molmo.png
Where is the bowl placed?,images/297_original.jpg,images/297_labeled.jpg,masks_gt/297_mask.png,molmo/297_molmo.png
What is on the chair?,images/298_original.jpg,images/298_labeled.jpg,masks_gt/298_mask.png,molmo/298_molmo.png
Does the food completely cover the inner wall?,images/299_original.jpg,images/299_labeled.jpg,masks_gt/299_mask.png,molmo/299_molmo.png
What is connected to the base?,images/300_original.jpg,images/300_labeled.jpg,masks_gt/300_mask.png,molmo/300_molmo.png
Is the glass empty?,images/301_original.jpg,images/301_labeled.jpg,masks_gt/301_mask.png,molmo/301_molmo.png
what is the bowl placed on?,images/302_original.jpg,images/302_labeled.jpg,masks_gt/302_mask.png,molmo/302_molmo.png
Where is the handle located?,images/303_original.jpg,images/303_labeled.jpg,masks_gt/303_mask.png,molmo/303_molmo.png
What is shown on the side?,images/304_original.jpg,images/304_labeled.jpg,masks_gt/304_mask.png,molmo/304_molmo.png
How tall is the neck of the vase?,images/305_original.jpg,images/305_labeled.jpg,masks_gt/305_mask.png,molmo/305_molmo.png
Is this part wet?,images/306_original.jpg,images/306_labeled.jpg,masks_gt/306_mask.png,molmo/306_molmo.png
where is the location of the handbag?,images/307_original.jpg,images/307_labeled.jpg,masks_gt/307_mask.png,molmo/307_molmo.png
What is inside the vase?,images/308_original.jpg,images/308_labeled.jpg,masks_gt/308_mask.png,molmo/308_molmo.png
What is inside the vase?,images/309_original.jpg,images/309_labeled.jpg,masks_gt/309_mask.png,molmo/309_molmo.png
How many handles does the mug have?,images/310_original.jpg,images/310_labeled.jpg,masks_gt/310_mask.png,molmo/310_molmo.png
What is the size of the kettle?,images/311_original.jpg,images/311_labeled.jpg,masks_gt/311_mask.png,molmo/311_molmo.png
Is something placed on top of the box?,images/312_original.jpg,images/312_labeled.jpg,masks_gt/312_mask.png,molmo/312_molmo.png
where is this bench position in the photo?,images/313_original.jpg,images/313_labeled.jpg,masks_gt/313_mask.png,molmo/313_molmo.png
What is in the bowl?,images/314_original.jpg,images/314_labeled.jpg,masks_gt/314_mask.png,molmo/314_molmo.png
Is there anything placed inside the tray?,images/315_original.jpg,images/315_labeled.jpg,masks_gt/315_mask.png,molmo/315_molmo.png
How many lamps are in the room?,images/316_original.jpg,images/316_labeled.jpg,masks_gt/316_mask.png,molmo/316_molmo.png
what type of shoe is this?,images/317_original.jpg,images/317_labeled.jpg,masks_gt/317_mask.png,molmo/317_molmo.png
What is the size of the book with white cover?,images/318_original.jpg,images/318_labeled.jpg,masks_gt/318_mask.png,molmo/318_molmo.png
What's the next to the remote control? ,images/319_original.jpg,images/319_labeled.jpg,masks_gt/319_mask.png,molmo/319_molmo.png
What does the cover display?,images/320_original.jpg,images/320_labeled.jpg,masks_gt/320_mask.png,molmo/320_molmo.png
What is the pattern on the sweater?,images/321_original.jpg,images/321_labeled.jpg,masks_gt/321_mask.png,molmo/321_molmo.png
,images/322_original.jpg,images/322_labeled.jpg,masks_gt/322_mask.png,molmo/322_molmo.png
What is in the glass?,images/323_original.jpg,images/323_labeled.jpg,masks_gt/323_mask.png,molmo/323_molmo.png
What is placed next to the plastic bag?,images/324_original.jpg,images/324_labeled.jpg,masks_gt/324_mask.png,molmo/324_molmo.png
What is the color of the phone?,images/325_original.jpg,images/325_labeled.jpg,masks_gt/325_mask.png,molmo/325_molmo.png
Is the cup in his hand?,images/326_original.jpg,images/326_labeled.jpg,masks_gt/326_mask.png,molmo/326_molmo.png
What is placed inside that box?,images/327_original.jpg,images/327_labeled.jpg,masks_gt/327_mask.png,molmo/327_molmo.png
what color of hat is that?,images/328_original.jpg,images/328_labeled.jpg,masks_gt/328_mask.png,molmo/328_molmo.png
What is on the table?,images/329_original.jpg,images/329_labeled.jpg,masks_gt/329_mask.png,molmo/329_molmo.png
What is the color of the napkin?,images/330_original.jpg,images/330_labeled.jpg,masks_gt/330_mask.png,molmo/330_molmo.png
What is under the lamp?,images/331_original.jpg,images/331_labeled.jpg,masks_gt/331_mask.png,molmo/331_molmo.png
is that object currently switched on?,images/332_original.jpg,images/332_labeled.jpg,masks_gt/332_mask.png,molmo/332_molmo.png
Where is the remote control placed?,images/333_original.jpg,images/333_labeled.jpg,masks_gt/333_mask.png,molmo/333_molmo.png
what is beside the chair?,images/334_original.jpg,images/334_labeled.jpg,masks_gt/334_mask.png,molmo/334_molmo.png
What is next to the bottle?,images/335_original.jpg,images/335_labeled.jpg,masks_gt/335_mask.png,molmo/335_molmo.png
Who is carrying the handbag?,images/336_original.jpg,images/336_labeled.jpg,masks_gt/336_mask.png,molmo/336_molmo.png
Where is the napkin?,images/337_original.jpg,images/337_labeled.jpg,masks_gt/337_mask.png,molmo/337_molmo.png
,images/338_original.jpg,images/338_labeled.jpg,masks_gt/338_mask.png,molmo/338_molmo.png
what is beside that man wearing a watch?,images/339_original.jpg,images/339_labeled.jpg,masks_gt/339_mask.png,molmo/339_molmo.png
